Orig Query,New Query,Found,Match Rank,Rank,Probability
drienov,drien,1,1,10,30.0
zbehnov,behnv,1,1,2,100.0
pastuchov,pasthov,1,1,27,13.1868131868132
hornie lelovce,hornie elvce,1,1,174,3.0690537084399
backov,ackv,1,1,3,66.6666666666667
harmanovce nad toplou,harmanovcenad toplu,1,1,275,3.18543799772469
kuzmice,kuzie,1,1,8,29.4117647058824
dulvina,duvin,1,5,11,10.2564102564103
racistorf,racitrf,1,9,13,5.0
rozhanovce,rzhanovc,1,33,154,0.713266761768902
spissky vlachoch,spisskylachoch,1,9,64,2.64550264550265
povazska bystrica,povazsk bystric,1,1,167,10.6451612903226
nizna lipnica,izna lipnia,1,6,83,2.17983651226158
svercov,svrov,0,-,33,0.0
rumanova,rumava,1,1,29,8.88888888888889
hornie stitany,horne titany,1,2,133,3.92798690671031
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 184 file 5,slovak archives  jwish census 1942 townships and communities	slovak archives reel 2  box 14 file 5,1,1,212,1.65254237288136
vesele,vesl,1,4,77,3.81679389312977
okruhle,okule,0,-,5,0.0
senica nad myjavou,senic ad myjavou,1,8,109,2.24032586558045
sabinov,sabno,1,1,3,54.5454545454545
slovak archives jewish census 1942 townships and communities slovak archives reel 3 box 186 file 3 c,slovak archives jewish census 1942 townships and communities slovak achives reel 3 box 186 ile 3 c,1,1,230,1.63730569948187
nizny hrusov,niny hrusv,1,1,57,7.63358778625954
topolcianky,oplcianky,1,1,35,17.1232876712329
medzilaborce,medzlabore,1,1,36,15.625
nova lesna,nova sna,1,3,166,2.75862068965517
gergelak,gergek,1,1,3,75.0
dehtice,dhtic,1,1,10,23.8095238095238
work camps in zilina county (documented by the hg),work campsin zilina county (documented b the hg),1,1,170,25.4160363086233
velke bukovce,velebukovce,1,1,199,1.97856553998351
krasno nad kys.,krasno ad ks.,1,1,68,12.3239436619718
domanovce,doanvce,0,-,121,0.961538461538462
liptovska luzna,iptovskaluzna,1,11,86,2.01793721973094
krupina,kupna,0,-,5,0.0
velaty,veay,0,-,1,NaN
basovce,baoce,0,-,2,0.0
hronec,honc,0,-,3,0.0
gnazda,nazd,1,2,3,33.3333333333333
pstrina,srina,1,3,30,7.69230769230769
nedasovce,ndsovce,1,14,144,1.23456790123457
mlynany,mlyny,1,2,3,50.0
krajne,kran,1,26,27,1.05263157894737
dvorniky,voriky,1,8,9,5.40540540540541
blazov,blao,1,1,3,50.0
hradiste pod vratnom,hradse pod vratnom,1,1,90,11.4035087719298
trakovice,traovie,1,1,29,9.1743119266055
valkov,alkv,1,1,3,50.0
rebrin,rebn,1,3,5,26.6666666666667
zakopcie,zkpcie,1,4,9,11.1111111111111
svaty kriz nad hronom,saty kriz nd hronom,1,6,113,3.14606741573034
cropov,croo,1,1,2,100.0
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 183 file 3,slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  bx 183 ile 3,1,1,212,1.66952054794521
lipiany,liiay,0,-,1,NaN
varhanovce,rhanovce,1,1,161,2.13143872113677
pribylina,priblin,1,20,27,2.9126213592233
trnavka,tavka,1,3,20,9.41176470588235
vysny orlik,vysy orik,1,18,25,3.40909090909091
miglesov,mileso,1,1,67,8.16326530612245
hronska breznica,hronka beznica,1,1,134,5.06329113924051
jacovce,covce,1,9,135,1.33779264214047
male bialice,ale ialice,1,1,120,6.9164265129683
kaluza,klua,0,-,3,0.0
male vozokany,mle vozokay,1,1,72,21.0843373493976
rozindol,rzindl,1,5,11,8.69565217391304
slovak archives - jewish census 1942 townships and communities reel 4  box 191 file 6,slovak archives - jewish census 1942 townshis an communities reel 4  box 191 file 6,1,1,207,1.68086060062752
jablonka,jablka,1,8,17,4.08163265306122
novaky,nvak,1,1,59,8.06451612903226
budatin,budtn,1,2,8,20.8333333333333
stelbach,stlach,1,14,26,3.6697247706422
sumiac,umac,0,-,4,0.0
svrcinovec,vrciovec,1,1,32,10.8843537414966
laksarska nova ves,lakarska nva ves,1,1,150,6.61375661375661
vysna zubrica,ysna ubrica,1,5,94,2.08955223880597
kosicke hamry,kosikehamry,1,1,23,19.8019801980198
dolne oresany,dlne oresny,1,2,59,9.16030534351145
nova ves nad zitavou,nova ves nad itvou,1,1,209,4.20757363253857
kralova,kraov,1,9,14,8.0
nolcovo,ncovo,1,2,31,7.01754385964912
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 184 file 6,slovak archives  jewish censs 1942 townships and cmmunities	slovak archives reel 2  box 184 file 6,1,1,208,1.69602087410307
dubinne,ubine,1,1,20,11.5942028985507
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 186 file 3,slovak archives  jewish census 1942 townships and comunities	slova archives reel 2  box 186 file 3,1,1,214,1.66870166870167
sliace,siac,1,1,3,80.0
vistnia polanka,vistnia olank,1,1,70,9.02255639097744
rosina,osna,0,-,8,0.0
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 187 file 4,slovak archives jewish census 1942 townships nd cmmunities slovak archives reel 3  box 187 file 4,1,1,210,1.65397170837867
modranka,mdanka,1,12,16,2.98507462686567
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 188 file 1,slovak archives jewish census 1942 townships and ommunities slovak archives reel 3 box 188 file 1,1,1,216,1.63620909477263
racanov,rcnov,1,27,53,2.07253886010363
prievoz,pevoz,1,1,7,32.258064516129
siroke,sroe,0,-,1,NaN
krajne carno,krjne arno,1,1,95,8.51063829787234
horny lieskov,hry lieskov,1,2,150,4.88656195462478
smilno,siln,1,1,2,100.0
moravsky svaty jan,morvsky svaty ja,1,1,71,10.989010989011
vychodna,vyhdna,1,7,8,5.55555555555556
krakovany,rakovan,1,26,181,0.826446280991736
lysa pod makytou,lysa pd maytou,1,1,17,37.6470588235294
mocarmany,ocrmany,1,1,79,4.13793103448276
nadlice,adlce,1,2,9,14.8148148148148
jastrable,astrabe,1,1,54,6.61157024793388
hudcovce,hucove,1,11,50,2.4390243902439
borsky svaty jur,borsky saty ur,1,1,66,8.88888888888889
torysky,torsy,1,11,13,2.4390243902439
lucivna,luvna,1,2,3,14.2857142857143
osrblie,osrle,1,1,2,100.0
lom nad hronom,lm ad hronom,1,2,66,9.25925925925926
oponice,opice,1,16,52,2.16216216216216
gelnica,gelia,1,1,9,18.75
vysoka,ysoa,1,3,4,30.7692307692308
preselany,prelany,1,1,90,5.60224089635854
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 188 file 5,slovak archives jewish census 1942 townships and communities slovak arcives reel   box 188 file 5,1,1,220,1.61488143908422
maly cepcin,ly cepcin,1,1,80,5.0
spissky strvtok,spisky strvtk,1,1,95,8.05008944543828
moravske lieskove,movske lieskove,1,1,224,5.44554455445545
banska bystrica,bansabystrica,1,3,111,3.2258064516129
valaska,alask,1,15,20,3.75
krusovce,krsovc,0,-,138,0.359712230215827
habure,aure,1,1,3,55.5555555555556
beckov,ecov,0,-,23,0.0
sandal,sadl,0,-,5,0.0
sucany,suay,0,-,1,NaN
vrbovec,vroec,0,-,1,NaN
horovce,hoovc,0,-,117,0.980392156862745
slovenske pravno,slovenke prvno,1,1,161,6.58978583196046
velky folkmar,elkyfolkmar,1,1,48,13.0841121495327
belusa,eusa,1,2,5,41.6666666666667
kostolna ves,kostona ve,1,1,74,5.91133004926108
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 185 file 1,slovak archives  jewish census 1942 townships ad communities	slovak archives reel 2  box 85 file 1,1,1,241,1.61157024793388
velkrop,elkro,1,1,36,9.83606557377049
bukovina,bkovia,1,3,84,2.48447204968944
presov,reov,0,-,1,NaN
poprad,opra,1,5,7,11.7647058823529
spisske pohradie,pisske pohraie,1,1,99,8.66551126516464
zbudske dlhe,zbske dlhe,1,1,55,9.09090909090909
milbach,milbc,1,1,3,61.5384615384615
bojnice,bojce,1,1,7,25.0
lietavska lutca,ietavsa lutca,1,1,44,22.1674876847291
velka causa,elk causa,1,7,43,3.44827586206897
pocuradlo,pcurado,1,1,39,7.64331210191083
zakovce,zakoc,1,1,17,13.3333333333333
stary tekov,tarytekov,1,1,89,7.26744186046512
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 190 file 2,slovak rchives jewish census 1942 townships and communities slovak achives reel 3  box 190 file 2,1,1,230,1.63122031798472
vyhne labor camp,yhne labr camp,1,4,43,5.37634408602151
hrubov,rubo,1,1,15,13.3333333333333
hradok,haok,0,-,1,NaN
zemianske kostolany,zemianske kstolay,1,1,105,7.79220779220779
kruzlova,kruloa,1,2,10,15.3846153846154
vyhne (tabor),yhne (tabo),1,2,35,5.83941605839416
velky ruskov,vekyruskov,1,2,84,4.24403183023873
sandorf,sndof,1,1,3,80.0
vajnory,ajnoy,1,1,8,25.0
horna micina,orna micin,1,5,67,2.84697508896797
kurima,kria,0,-,10,0.0
ustredna zidov list of workers and associates (?),ustredna zidov lit of workers and associates (),1,1,165,17.6285414480588
kamenany,ameany,1,1,77,3.63636363636364
