Orig Query,New Query,Found,Match Rank,Rank,Probability
velky kolacin,elkykolacin,1,1,77,8.94568690095847
slovak archives jewish census 1942 townships and communities slovak archives reel 2  box 184 file 1,slovak archives jwish census 942 townships and communities slovak archives reel 2  box 184 file 1,1,1,217,1.65253315938247
dubovica,duovic,1,4,18,10.126582278481
pukanec,uknec,1,10,14,2.56410256410256
uhorna,uona,0,-,1,NaN
chtelnica,htlnica,0,-,72,0.925925925925926
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 186 file 1,slovak archies  jewish census 1942 townships and communities	sloak archives reel 2  box 186 file 1,1,1,212,1.69525731584258
dolne srnie,oln srnie,1,1,53,8.62068965517241
biksard,bksrd,0,-,1,NaN
velky saris,lky saris,1,1,53,10.8695652173913
bucany,buca,1,1,6,33.3333333333333
revucka,reuck,1,1,4,57.1428571428571
hostovce,hstovc,0,-,151,0.538599640933573
slovenska lupca,slovnsa lupca,1,11,123,1.71149144254279
nitrianske rudno,nitriaskerudno,1,1,109,13.1147540983607
liestany,listay,1,25,41,2.89855072463768
lubenik,ubeni,1,8,14,7.31707317073171
zemanska ludrova,zemanska ludrv,1,1,90,7.69230769230769
dovalovo,dvaovo,1,12,14,2.12765957446809
domadice,domace,1,17,24,2.40963855421687
kostolany nad hor.,kostlany nad ho.,1,1,174,4.79511769834351
castkovce,castkoc,1,1,22,15.6862745098039
hrabovcik,haovcik,1,1,118,3.48027842227378
namestovo,nastovo,1,6,61,2.65486725663717
nizny komarnik,iny komarnik,1,1,97,7.87746170678337
laskovce,lakvce,1,37,123,0.941176470588235
lubela,lela,1,9,11,3.33333333333333
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 189 file 3,slovak archives jewish census 142 townshipsand communities slovak archives reel 3  box 189 file 3,1,1,224,1.63511187607573
mnisek nad hnilcom,mnisek nad nlcom,1,34,121,1.68970814132104
petrova ves,etrovaves,1,19,160,0.915750915750916
ruzomberok,rzombrok,1,1,19,10.5263157894737
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 188 file 3,sloak archives jewish census 1942 townships and communities slovak archies reel 3  box 188 file 3,1,1,217,1.65255945183394
dolnie mladonice,dolnie ladonic,1,1,117,6.73400673400673
velke ostratice,lke ostratice,1,1,146,6.24113475177305
krajna polana,krajna pola,1,1,79,10.6888361045131
starzky nad popradom,starzky d popradom,1,1,107,10.3321033210332
ratkovo,ratko,1,1,15,18.4615384615385
smolinske,smolise,1,1,20,16.0
dubora,duor,0,-,1,NaN
cierna lehota,iern lehota,1,1,26,14.7368421052632
tolcemes,olemes,1,3,31,7.01754385964912
strecna,strcn,1,26,37,3.03030303030303
tura luka,tur uka,1,12,18,3.7037037037037
kalnica,klnia,1,12,25,4.59770114942529
svaty benedik,svty beneik,1,6,34,4.85436893203883
pusta kert,pustakrt,1,1,35,9.30232558139535
spisska sobota,isska sobota,1,1,79,10.2880658436214
tokajik,tojik,1,1,2,100.0
bosany,bosy,1,1,3,50.0
jastraba,astrab,1,23,54,1.65289256198347
cabalovce,abalovc,1,1,203,2.98953662182362
vydran,vyan,0,-,1,NaN
machalovce,macalove,1,2,122,3.31491712707182
nacina ves,nacinave,1,1,50,9.58083832335329
marsany,arsny,1,4,12,9.75609756097561
diviaky,iviky,1,5,9,13.3333333333333
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 190 file 1,slovak arhives jwish census 1942 townships and communities slovak archives reel 3  box 190 file 1,1,1,220,1.64452877925364
mokra luka,okra uka,1,1,30,14.5454545454545
hoske  ?,hose ?,1,2,5,28.5714285714286
predmier,predmi,1,7,13,8.33333333333333
lubina,luba,1,10,14,2.77777777777778
vojcice,vocie,0,-,11,0.0
malacky,aacky,1,3,6,21.0526315789474
jurgov,jurv,1,3,4,14.2857142857143
velky slivnik,velky slivn,1,1,98,6.71641791044776
stare hory,sarehory,0,-,60,1.31004366812227
vrutky,ruky,0,-,3,0.0
lednicke rovne,lednicerovne,1,17,127,1.38888888888889
velka hradna,velka hrdn,1,1,93,5.25164113785558
bela nad cir,bla nd cir,1,1,83,8.84955752212389
slovak archives -  jewish census 1942 townships and communities reel 4  box 190 file 3 continued,slvak archives -  jewish census 1942 townships and communities reel4  box 190 file 3 continued,1,1,160,1.97628458498024
castkov,casov,1,32,46,1.86915887850467
cinobana,cinoaa,1,12,17,3.50877192982456
ortutov,rtutv,1,1,2,100.0
stara lehota,stralehota,1,4,56,5.07936507936508
zbudsky rokytov,zbudsk rokyov,1,1,23,26.1682242990654
plavecky stvrtok,plaveckytvrtok,1,1,57,19.0839694656489
dolne zemberovce,dolnezemerovce,0,-,189,0.674536256323777
cierny balog,ciry balog,1,8,31,4.0
nizny colgory ???,nizny clgory???,1,1,48,11.2852664576803
dohnany,dhany,0,-,81,0.3584229390681
janovce,janoe,1,1,22,10.0
slovak archives  - jewish census 1942 townships and communities reel 1 box 182 corrected,slovak archives - jewish census 1942 townships and comunities reel 1 box 182 corrected,1,1,210,1.8034265103697
stara bystrica,tara bystrca,1,14,65,2.07253886010363
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 188 file 2,slovak archives jewish cnsus 1942 townships and communities slovak archives reel 3  box 88 file 2,1,1,210,1.63757810816634
oscadnica,scadica,1,34,64,1.57894736842105
oslany,olan,1,8,22,4.54545454545455
slavkovce,sakovce,1,21,168,1.0919017288444
smolenice,olenice,1,1,104,5.96658711217184
hornie srnie,hore srnie,1,1,62,7.94701986754967
cierne,ciee,1,1,8,25.0
lieskovec,lieovec,1,1,43,6.282722513089
nemcar,mcar,1,5,6,11.1111111111111
iadomirova,iadmirov,1,1,39,14.8148148148148
cecehov,cehov,1,1,21,14.2857142857143
sanbron,sabrn,0,-,6,0.0
chrtany,hrtay,1,1,2,100.0
strazske,strazs,1,1,42,9.25925925925926
svaty antol,vay antol,1,1,70,4.90196078431373
sliepkovce,siepkovc,1,1,161,2.96296296296296
zatkovce,zatkvc,1,1,4,61.5384615384615
lovinobana,lovinana,1,1,149,5.66037735849057
niznia radvan,nizniaradvn,1,1,71,6.4343163538874
breznica,eznica,1,1,77,4.70588235294118
slovak archives  - jewish census 1942 townships and communities	reel 2  box 183 file 1,slovak archives  - jewish ensus 1942 townships and communities	reel 2  box 183 fil 1,1,1,198,1.74146014735432
trencianske teplice,trecianske teplie,1,11,112,1.92616372391653
potoky,poky,1,4,5,25.0
certizne,crtine,1,11,22,5.88235294117647
lastovce,lastvc,1,1,24,9.63855421686747
spanie pole,spaie pol,1,1,55,8.29875518672199
raztoky,raztk,1,1,9,20.0
slovak archives - jewish census 1942 townships and communities reel 3  box 190 file 3,slova archives - jewish census 1942 townships and communities reel3  box 190 file 3,1,1,213,1.61394448030988
mnisek nad popradom,mnisek ad popraom,1,3,137,2.83505154639175
maly bab,mlybab,1,1,7,22.7272727272727
mlynarovce,mlyaovce,1,1,124,1.44230769230769
topolcany,tolcany,1,12,85,2.0997375328084
visna olsava,visna lava,1,1,94,4.6189376443418
slanec,sanc,0,-,13,0.0
velky sulin,velkyulin,1,1,50,6.64451827242525
zabokreky nad nitrou,zabokrek nadnitrou,1,1,148,9.75609756097561
inacovce,nacoce,1,1,10,21.0526315789474
nemecka poruba,neeca poruba,1,2,37,12.565445026178
hornie otrokovce,horni otrkovce,0,-,202,0.609291698400609
prietrz,priet,1,2,19,13.3333333333333
brunovce,brunov,1,1,54,7.61904761904762
slanica,slana,1,2,37,6.62251655629139
stitnik,itnik,1,1,29,13.1578947368421
lipovec,liove,1,10,29,4.12371134020619
zilina,zina,1,20,33,2.02020202020202
tesary nad zitavou,tsary nad ztavou,1,1,83,6.95322376738306
brdarska,brdara,1,1,9,32.4324324324324
durova,urva,0,-,1,NaN
liesek,iesk,1,9,72,3.52112676056338
klecenov,klecnv,1,1,5,44.4444444444444
semetkovce,emetkove,1,1,96,5.0125313283208
dolne drzkovce,dolnedrzkvce,1,17,151,0.964630225080386
kysucke nove mesto,kysucke novemsto,1,1,141,3.72881355932203
dolne strhary,dolne strar,1,1,90,6.57894736842105
uhorska ves,horskaves,1,24,145,1.11856823266219
rybary,rybr,1,2,4,40.0
racice,racc,1,4,6,7.14285714285714
dobova,dova,1,31,120,1.46520146520147
chotca,chta,0,-,5,0.0
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 185 file 6,slovak archives  jewish census 1942 townshis and communities	slovak archives reel 2  box 185file 6,1,1,212,1.6532428995337
kezmarok,kemark,1,3,18,8.21917808219178
porubka,oruka,1,8,11,11.4285714285714
zariecie,ariece,1,15,22,4.16666666666667
sabotiste,sabotie,1,1,71,15.625
pruske,ruke,0,-,1,NaN
hardiste,hadite,0,-,15,0.0
batovce,tovce,0,-,142,0.331858407079646
sklabina,klabia,1,1,19,20.8333333333333
lubica,lbca,0,-,2,0.0
slovak archives - jewish census 1942 townships and communities reel 4  box 191 file 5,slovak archives - jewsh census 142 townships and communities reel 4  box 191 file 5,1,1,212,1.67474658439841
belovez,bevez,1,2,3,44.4444444444444
valasovce,valaovc,1,1,125,2.71493212669683
balpotok,balotk,1,7,16,7.01754385964912
nitrianska streda,nitiansa streda,1,1,135,6.10169491525424
zbudza,zudz,1,1,3,50.0
nova bystrica,novabystrca,1,40,182,0.763358778625954
medvedzie,mevdzie,1,1,5,42.1052631578947
ustie nad oravou,ustie nad orav,1,32,168,1.33185349611543
hornia ves,horia es,1,3,50,4.46927374301676
piestany,piesay,1,13,76,3.2
koskovce,kosovc,1,4,152,1.59235668789809
melcice,elcie,1,1,17,18.5185185185185
falkusovce,falsovce,1,1,144,1.63934426229508
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 185 file 4,slovak archive  jewish cnsus 1942 townships and communities	slovak archives reel 2  box 185 file 4,1,1,209,1.6849199663016
bolesov,blsov,1,34,42,0.675675675675676
pohorela,porela,1,16,21,4.22535211267606
borsky svaty mikulas,orsky vaty mikulas,1,1,69,13.8613861386139
erdulka,erula,0,-,4,0.0
dolny hricov,dolny hrco,1,21,67,1.76470588235294
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 183 file 2,slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  ox 183file 2,1,1,212,1.65149269532077
bogdanovce,ogdanoce,1,1,24,20.2020202020202
liptovsky hradok,litovsky hradk,1,1,111,7.45033112582782
klacany,klcay,0,-,5,0.0
luborec,ubore,1,1,29,10.2564102564103
fekisovce,eisovce,1,1,147,1.60320641282565
kochanovce,kochanvc,1,1,25,17.7777777777778
remeniny,rmniny,1,1,13,20.0
roztoky,rtoky,1,3,12,13.3333333333333
trhoviste,trhovis,1,1,47,10.3092783505155
velicna,elicn,1,8,16,6.25
chynorany,chnoany,0,-,76,0.3690036900369
necpaly,necpa,1,1,12,34.0909090909091
podvlk,povk,0,-,8,0.0
nizny svidnik,nizny vidni,1,1,53,8.09248554913295
simonovany,smoovany,0,-,190,0.528169014084507
kluknava,uknava,1,14,31,3.57142857142857
hradisko,hradio,1,2,41,5.8252427184466
velke senkvice,elke snkvice,1,11,116,1.57170923379175
ploske,pose,0,-,2,0.0
kec. peklany,kec. pekln,1,1,7,33.3333333333333
svaty peter,svty eter,1,14,25,3.65853658536585
petrikovce,petrikoe,1,1,25,16.9491525423729
male hydnice,male hydie,1,1,88,10.5263157894737
baldovce,baldoe,1,1,6,48.0
giglovce,igloce,1,1,4,50.0
slovenska reslavica,sovenka reslavica,1,1,246,7.00934579439252
visnia jedlova,visnia jedlo,1,1,100,10.5263157894737
rajcany,acany,1,9,75,2.41691842900302
hankova,hanko,1,2,19,15.7894736842105
svidnicka,sviicka,1,1,19,13.3333333333333
lemesany,lemeny,1,2,20,10.989010989011
tuchnica,tchnic,1,1,52,7.05882352941176
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 187 file 6,sovak archives jewish census 1942 townships ad communities slovak archives reel 3  box 187 file 6,1,1,277,1.55267295597484
vlachy,achy,1,4,18,10.3896103896104
slovakia,slovak,1,36,145,0.655737704918033
sekule,kule,1,1,5,50.0
hradiste,hradie,1,7,42,5.30973451327434
myjava,mjva,0,-,1,NaN
hlohovec,hlohoe,1,1,4,54.5454545454545
laclava,lcava,1,4,31,4.34782608695652
petrov,petr,1,2,11,14.5454545454545
vislanka,visana,1,25,39,2.5
smolnicka huta,smlnicka hta,1,1,102,5.54272517321016
vysnia pisana,vyniapisana,1,1,45,10.4712041884817
solna bana,olna bna,1,1,56,6.80851063829787
pocenany,pocena,1,1,65,15.5339805825243
velke surovce,velksurovce,0,-,174,0.608166811468288
velka domasa,veka domsa,1,1,55,8.60215053763441
dolna streda nad vahom,dlna strea nad vahom,1,1,126,6.41573994867408
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 187 file 2,slvak archives jewish census 1942 townships and communities slovak archives reel 3  bo 187 file 2,1,1,217,1.64686262247238
rakovcik,rakock,1,4,17,10.8108108108108
mur. dl. luka,mur. d.luka,1,1,14,31.5789473684211
mataska,ataka,1,3,6,19.047619047619
ohradzany,oradzay,1,30,49,1.84049079754601
lubotin,lubon,1,2,18,11.4285714285714
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 185 file 9,slovak archives  jewish census 1942 townships and communitiesslovk archives reel 2  box 185 file 9,1,1,214,1.64868715652351
kostolne,ostlne,1,21,27,2.1978021978022
banska stiavnica,banska stavnia,1,5,132,2.33160621761658
plavnica,plvnia,1,2,23,6.41025641025641
iliasovce,iliaove,1,1,31,7.40740740740741
istebnik,isebik,0,-,6,0.0
likavka,liaka,0,-,7,0.0
pcoline,pcone,1,1,5,33.3333333333333
hanzlikova,nzlikova,1,1,176,4.44444444444444
plavec nad popradom,lavec ad popradom,1,1,124,11.1301369863014
sedlicna,sedlca,1,6,9,8.0
radimov,radmv,1,13,29,4.49438202247191
bystricka,bystrik,1,2,43,6.25
plavetsky svaty mikulas,plavetsky svat mikuls,1,7,72,3.08880308880309
niznia olka,nizni oka,1,29,34,1.38248847926267
brezovica nad tor.,brezovia nad to.,1,1,162,5.77124868835257
meslusa,mslsa,0,-,3,0.0
nizny orlik,niznyorlk,1,1,25,8.29015544041451
horne byhymcine,hrne byhmcine,1,1,60,15.2091254752852
kozarovce,korovce,0,-,143,0.319829424307036
vlasky,vsky,1,20,33,3.17460317460317
malcov,lcov,1,17,24,2.40963855421687
rakusy,raky,1,5,14,9.30232558139535
bobrov,brov,1,1,38,6.83760683760684
police headquarters in bratislava (continued),police headquarters i bratilava (continued),1,1,177,15.4327424400417
trocany,tcany,1,6,76,2.52365930599369
rakovec nad ondavou,rakovecad ondavou,1,1,150,8.38709677419355
various places (to be established - very few),varous placs (to be established - very few),1,1,172,6.10561056105611
batizovce,atzovce,1,1,129,1.75029171528588
trebisov,trebso,1,1,19,15.0
solosnica,slsnica,1,1,76,4.5045045045045
podolinec,pooline,1,17,26,3.19148936170213
turie pole,uie pole,1,19,61,1.83150183150183
gajary,aary,1,6,8,4.0
licartovce,licarove,1,1,120,2.9925187032419
visny svidnik,viny svinik,1,1,76,6.83060109289618
banovce nad ondavou,banovce naondavou,1,1,214,4.35656836461126
pudmerice,pudmeic,1,1,2,100.0
moraviany,moaviny,1,12,18,6.15384615384615
kovalov,ovalv,1,1,119,2.96296296296296
kapisov,kaiso,1,2,9,19.2307692307692
cervenica,rvenica,1,1,75,5.61797752808989
slovak archives  jewish census 1942 townships and communities	slovak archives reel 3  box 186 file 4,slovak archives  jewish census 194 townshps and communities	slovak archives reel 3  box 186 file 4,1,1,212,1.68867720285776
nizne ladiskovce,nizne ladikoce,1,1,79,8.42105263157895
slovak archives jewish census 1942 townships and communities	slovak archives reel 2  box 185 file 7,slovak archives jewish census 942 townships an communities	slovak archives reel 2  box 185 file 7,1,1,207,1.68453292496172
marhan,mrhn,0,-,1,NaN
drahovce,dahvce,0,-,121,0.240384615384615
lukov nad teplou,luov ad teplou,1,9,63,2.66666666666667
vysny mirosov,vys mirosov,1,1,63,10.8949416342412
krivostany,krvostny,1,14,20,3.17460317460317
stara lesna,tra lesna,1,1,44,10.7142857142857
stara tura,tara tra,1,16,34,2.56410256410256
hrabico,habio,1,7,8,3.44827586206897
abranovce,abrnoce,1,1,10,16.6666666666667
litava,lava,1,35,38,0.689655172413793
spisska bela,sissa bela,1,17,42,3.2258064516129
bertotovce,brtotoce,1,8,9,9.375
zavadka,vadka,1,1,5,42.8571428571429
klembarok,klbarok,1,15,22,3.8961038961039
bobrovec,bobove,1,35,41,1.18343195266272
vysny hrusov,ysy hrusov,1,2,62,7.38461538461539
durdos,duos,0,-,1,NaN
maly ruskov,ma ruskov,1,2,88,5.0
kelemes,keees,0,-,1,NaN
malinec,mainc,0,-,8,0.0
petrmanovce,ptrmanove,1,1,79,5.03778337531486
grane petrovce,gra petrovce,1,1,169,2.93847566574839
spisska nova ves,spisska nv ves,1,1,146,7.4792243767313
zlate moravce,zltemoravce,1,1,142,5.23560209424084
stropkov,strpov,1,2,40,4.0
petejovce,etejove,1,1,33,12.8
podhradie,podhdie,1,1,23,16.6666666666667
poltar,polr,1,2,16,9.43396226415094
bytcica,btcia,1,2,6,25.0
velka lihotka,velka litka,1,1,97,5.69105691056911
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 185 file 2,slvak archives  jewish census 192 townships and communities	slovak archives reel 2  box 185 file 2,1,1,212,1.6875
dolne bzince,dolne bzne,1,1,52,7.38461538461539
vilagy,viay,0,-,9,0.0
holumnica,lumnica,1,20,71,1.63934426229508
sarisske luky,aisske luky,1,1,73,9.66183574879227
hasprunka,hsrunka,1,7,11,9.67741935483871
topolovka,toplvka,1,3,13,13.5593220338983
hvozdnica,hvoznic,1,1,63,6.66666666666667
smizany,sizan,1,1,7,42.1052631578947
niznia polanka,inia polanka,1,1,69,8.51063829787234
karlova ves,karlov ve,1,1,117,6.66666666666667
bodruzal,bdruza,1,1,7,44.4444444444444
maly krtys,mal krys,1,1,29,8.0
pricka,pcka,1,3,13,10.0
danova,danv,1,3,5,28.5714285714286
muranska lehota,uraska lehota,1,1,89,6.20689655172414
kopcany,kopcn,1,2,4,22.2222222222222
strvtok,strtk,1,28,37,3.03030303030303
letanovce,lanovce,0,-,171,0.349040139616056
niklova,nikva,1,16,25,4.44444444444444
kremnicka,remicka,1,1,23,11.3207547169811
boleraz,bolra,1,1,4,45.4545454545455
dolny kubin,dolny kbi,1,2,61,3.16455696202532
zborov nad bystr.,zborov na bysr.,1,1,134,6.31578947368421
ceske brezovo,ceske ezovo,1,1,75,8.09248554913295
biskupice pri dunaji,biskuice pri unaji,1,1,86,14.1176470588235
polhore,poore,1,7,8,4.34782608695652
myto pod dumbierom,mto poddumbierom,1,1,49,6.54761904761905
zakamene,zakane,1,1,10,25.6410256410256
myslina,yslin,1,1,19,18.75
zvolen,zvoe,1,1,3,66.6666666666667
kuchyna,ucyna,1,1,4,38.4615384615385
maly slivnik,al slivnik,1,1,66,11.2676056338028
hlboke,hbke,0,-,1,NaN
visny orlik,isnyorlik,1,1,20,20.0
vieska nad zitavou,ieskanad zitavou,1,1,187,5.38116591928251
duplin,dpin,0,-,3,0.0
krasny brod,rasny brd,1,1,46,13.7614678899083
rakova,akov,0,-,68,0.72992700729927
priekopa,piekpa,1,1,4,41.6666666666667
chrast nad hornadom,crast nadhornadom,1,1,121,5.94594594594595
nizna sunava,izna sunav,1,1,60,10.738255033557
jablonica,ablonca,1,1,9,31.25
velka lomnica,vlka lomnic,1,8,110,1.8957345971564
nizny medzev,niny medzv,1,1,46,11.7370892018779
girovce,gioce,0,-,2,0.0
nemecka,emcka,1,16,17,1.85185185185185
turzovka,urzovk,1,4,12,9.09090909090909
trnava hora,trava hor,1,29,107,1.2853470437018
solivar,olvar,1,4,12,13.8888888888889
velke ozorovce,veke ozorvce,1,1,159,4.08858603066439
medzibrod nad hronom,medzibrod na hroom,1,1,103,9.67741935483871
benice,beni,1,1,13,20.5128205128205
lozorno,oorno,1,20,28,2.27272727272727
kubachy,kbchy,1,8,9,3.84615384615385
vydrnik,ydrik,1,4,8,15.3846153846154
horna strehova,horn stehova,1,1,185,3.88978930307942
hriadky,hriay,1,1,7,30.7692307692308
visna sunava,visa sunaa,1,1,40,11.1111111111111
podkrivan,pdkivan,1,13,18,2.94117647058824
cachtice,cchtic,1,9,11,5.66037735849057
jaklovce,jalvce,1,13,121,1.20192307692308
roznavske bystre,roavske bystre,1,1,105,6.05143721633888
prensov badan,preno badan,1,1,29,20.0
ceklis,ceki,1,2,3,20.0
visoka nad kisucou,visok nad kisuou,1,35,83,1.4792899408284
diviaky nad nitricou,diviaky ad itricou,1,4,110,2.6431718061674
ruzina,rzin,1,2,10,19.047619047619
slovak archives  jewish census 1942 townships and communities slovak archives reel 2  box 184 file 3,slovak archives  jewish census 1942 townships and communities slovak archivs reel 2  box 14 file 3,1,1,217,1.62304727125178
bystre nad toplou,bstre nad tplou,1,1,95,4.77897252090801
rostar,rsta,1,5,27,5.68181818181818
horne obdiekovce,horne obdiekoc,1,1,71,13.4803921568627
vieska,ieka,0,-,3,0.0
visny kubin,isny kuin,1,14,44,2.29357798165138
hincovce,hnovce,0,-,157,0.780487804878049
tegena,egna,0,-,2,0.0
lipt. hradok,lip. hradk,1,20,60,1.97628458498024
mikusovce,mikuove,1,2,31,7.01754385964912
koseca,ksea,0,-,1,NaN
dezerice,dzerie,1,10,16,4.08163265306122
brusnica,brusic,1,2,22,9.30232558139535
chmelov,cmelv,1,3,4,10.0
podskolie,podsole,1,2,35,7.3394495412844
tomasovce,tomasve,1,10,17,5.17241379310345
borsky svaty peter,borsky svatypter,1,3,70,8.31758034026465
slovak archives - jewish census 1942 townships and communities reel 4  box 191 file 3,slovak archives - jewish census 1942 ownships and communities reel 4  box 91 file 3,1,1,206,1.66156536947967
cerveny kamen,eveny kamen,1,1,51,13.3779264214047
huncovce,ncovce,1,2,135,1.76795580110497
revuca,reca,0,-,8,0.0
marikova,arikva,1,1,12,25.0
/vrbove,vrbve,1,4,5,8.33333333333333
sotina,soti,1,3,4,18.1818181818182
madunice,maduce,1,1,4,80.0
vieska beckovska,iska beckovska,1,1,149,5.1150895140665
timoradza,tiordza,1,3,8,22.2222222222222
liborce,lirce,1,4,7,19.047619047619
dolne vasardice,dlne vsardice,1,1,95,7.98004987531172
horny mostenec,hony mosteec,1,1,64,9.95850622406639
voderady,vderdy,1,3,4,16.6666666666667
rokovo,okov,1,1,70,3.08880308880309
kocovce,kooce,0,-,2,0.0
dobsina,dobin,1,8,13,5.26315789473684
slovak archives - jewish census 1942 townships and communities reel 4  box 191 file 4,sloak archives - jewish censs 1942 townships and communities reel 4  box 191 file 4,1,1,150,1.81554103122731
bardiov,briov,1,4,7,11.1111111111111
velka udica,velkaudca,1,29,42,1.19521912350598
verekne,vekne,1,1,2,100.0
liptovske revuce,liptvske evuce,1,13,69,2.1505376344086
chlumec nad vahom,chlumc nad vaho,1,1,61,6.34920634920635
uherska reslavica,uherskareslaica,1,6,119,2.00445434298441
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 188 file 4,slovak archives jewish census 1942 townships and communiies slovak archives reel3  box 188 file 4,1,1,211,1.62915326902465
slepcany,slpcay,1,1,5,57.1428571428571
merasice,rasice,1,2,60,6.55737704918033
svaty ondrej nad hronom,svaty ondrej nad hnom,1,13,80,2.07317073170732
zaborie,zabri,1,4,9,14.2857142857143
okolicne,oolcne,1,8,9,3.44827586206897
niznie cabiny,niznie cbiy,1,1,47,7.10059171597633
senica,sena,1,9,13,3.44827586206897
uzovce,uove,0,-,27,0.0
velky bysterec,vely byterec,1,1,73,8.79120879120879
kocurany,kocray,1,1,5,25.0
dolny almas,lny almas,1,2,34,5.51181102362205
medzany,mezay,0,-,1,NaN
spissky hrusov,spssky husov,1,1,83,7.04225352112676
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 186 file 2,slovak archives  jeish census 1942 townships and communities	slovak archives reel2  box 186 file 2,1,1,211,1.66595472020504
nova ves nad vahom,nova vs nad vahm,1,1,207,3.61247947454844
bzovik,zoik,0,-,1,NaN
pribovce,provce,1,23,142,1.09051254089422
hertnik,hrnik,1,29,35,0.704225352112676
velke levare,elkelevare,1,1,53,11.71875
hornany,honan,1,3,9,16.6666666666667
margecany,maecany,1,1,74,3.80952380952381
puchov,puho,0,-,6,0.0
straza,sraa,0,-,1,NaN
herlany,heany,0,-,73,0.392156862745098
malachov,mlacov,1,24,39,2.61437908496732
liptovsky svaty mikulas,lptovsky svay mikulas,1,2,94,4.93827160493827
liptovske trnovce,liptovke trnovc,1,5,213,1.20087336244541
holomanovce,olomanvce,1,1,140,3.91389432485323
hranovnica,hravnica,0,-,108,0.856531049250535
lasovce,asvce,0,-,121,0.961538461538462
visnie slovinky,visnieslovnky,1,1,155,4.23600605143722
dolnia lehota,dolnia lota,1,1,66,7.42705570291777
slovak archives - jewish census 1942 townships and communities reel 4  box 192 file 2,lovak archives - jewishcensus 1942 townships and communities reel 4  box 192 file 2,1,1,210,1.68711656441718
zelene,zeen,0,-,1,NaN
blatne revistia,blatnerevitia,1,1,85,13.6585365853659
sastin,asti,1,19,24,2.5
parnica,arnia,1,23,30,1.6260162601626
hochetetno,hoceteno,1,8,13,6.25
velke chlievany,elke chlivany,1,1,140,7.02028081123245
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 187 file 1,slova archives jewish census 1942 townships and communities slovak archives reel 3  bo 187 file 1,1,1,219,1.62451161834259
prievidza,rividza,1,1,17,28.5714285714286
krusetnica,rusetnia,1,6,33,4.27350427350427
cicmany,ciany,0,-,79,0.317460317460317
horne bzince,horne zice,1,4,113,3.08285163776493
krompachy,krmpach,1,1,17,24.1935483870968
nove mesto nad vahom,nov mesto nad ahom,1,1,138,7.35444330949949
secovce,scvce,1,5,121,1.20192307692308
vyrava,yrav,1,1,20,15.3846153846154
pusty fedymes,pusy feymes,1,1,17,33.3333333333333
starina,arina,1,1,37,9.16030534351145
kudlovce,kuovce,1,26,123,0.970873786407767
katlovce,kaloce,0,-,20,0.0
lukacovce,lukaoce,1,4,13,14.5454545454545
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 185 file 3,slovak archives  jewish census 1942 townshis and communiies	slovak archives reel 2  box 185 file 3,1,1,207,1.69014084507042
knazice,azice,1,1,53,6.41711229946524
nizny sebes,nny sebes,1,1,46,12.2448979591837
lubietova,ubietva,1,9,18,6.38297872340426
trebasovo,trebavo,1,1,34,9.44881889763779
devinska nova ves,devinska noa vs,1,1,99,8.18330605564648
dolnie slazany,dolne slazny,1,19,105,1.32743362831858
slovak archives - jewish census 1942 townships and communities reel 4  box 192 file 1,lovak archives - jewish census 1942 ownships and communities reel 4  box 192 file 1,1,1,205,1.69715671148336
hnojne,hnon,1,2,4,33.3333333333333
ticinec,tinec,1,2,27,8.33333333333333
dlhe nad cir,de nad cir,1,1,113,4.26179604261796
spacince,sacinc,1,15,22,3.8961038961039
kojsov,ojso,1,1,2,100.0
niznie slovinky,ninie lovinky,1,1,145,5.66801619433198
pozdisovce,pozdisoe,1,4,18,8.62068965517241
spisske vlachy,siske vlachy,1,12,81,1.93704600484262
lazy pod makytou,lazy pd maytou,1,2,13,16.6666666666667
vavrinec,vavric,1,1,17,24.4897959183673
granastov,ganstov,1,2,57,4.08163265306122
kolbovce,kolvce,1,1,127,1.82232346241458
pezinok,peiok,0,-,1,NaN
police headquarters in bratislava,police headquarers in bratislaa,1,2,126,13.8114209827357
rozlozna,rozlon,1,1,10,33.3333333333333
radosovce,adosove,1,1,81,6.6006600660066
kalinov,kinov,1,2,55,3.7914691943128
jablon,jblo,1,2,4,40.0
farkasin,fakasn,1,6,7,14.8148148148148
biely kostol,bely kosol,1,1,56,8.13008130081301
gombas,gbas,1,1,4,38.4615384615385
pernek,prek,0,-,9,0.0
